"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00001844,2019-08-18 17:06:35,קוליפורם צואתי,2700,גשר הצפצפה,עין פשחה,,
NS00001924,2019-08-18 17:25:51,קוליפורם צואתי,1000,בריכה הצפצפה - גשר דרומית,עין פשחה,,
NS00000700,2019-02-24 13:47:50,קוליפורם צואתי,20,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-04-07 14:49:25,קוליפורם צואתי,>1000,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-04-29 08:45:35,קוליפורם צואתי,100,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-06-02 16:19:07,קוליפורם צואתי,פלטה מכוסה,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-06-30 17:24:32,קוליפורם צואתי,650,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-08-18 16:45:46,קוליפורם צואתי,>1000.,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-08-26 00:00:00,קוליפורם צואתי,200,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-08-26 11:14:15,קוליפורם צואתי,150,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-10-27 15:04:05,קוליפורם צואתי,400,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-11-24 15:01:49,קוליפורם צואתי,30,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000700,2019-12-23 14:53:13,קוליפורם צואתי,400,בריכת קנה (תמר) - עינות צוקים,עינות צוקים,,
NS00000703,2019-04-07 14:49:25,קוליפורם צואתי,80,בריכת תמר - עינות צוקים,עינות צוקים,,
NS00000703,2019-08-18 16:45:46,קוליפורם צואתי,40,בריכת תמר - עינות צוקים,עינות צוקים,,
NS00000703,2019-10-27 15:04:05,קוליפורם צואתי,<10,בריכת תמר - עינות צוקים,עינות צוקים,,
NS00000704,2019-02-24 13:47:50,קוליפורם צואתי,80,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-04-07 14:49:25,קוליפורם צואתי,150,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-04-29 08:45:35,קוליפורם צואתי,500,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-05-28 15:21:50,קוליפורם צואתי,150,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-06-02 16:19:07,קוליפורם צואתי,50,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-06-30 17:24:32,קוליפורם צואתי,40,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-08-18 16:45:46,קוליפורם צואתי,330,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-10-27 15:04:05,קוליפורם צואתי,40,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-11-24 15:01:49,קוליפורם צואתי,10,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00000704,2019-12-23 14:53:13,קוליפורם צואתי,<2,בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,,
NS00001648,2019-02-24 13:47:50,קוליפורם צואתי,30,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-04-07 14:49:25,קוליפורם צואתי,180,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-04-29 08:45:35,קוליפורם צואתי,50,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-05-28 15:21:50,קוליפורם צואתי,30,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-06-02 16:19:07,קוליפורם צואתי,70,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-06-30 17:24:32,קוליפורם צואתי,40,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-08-18 16:45:46,קוליפורם צואתי,80,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-08-26 11:08:26,קוליפורם צואתי,60,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-10-27 15:04:05,קוליפורם צואתי,100,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-11-24 15:01:49,קוליפורם צואתי,20,מזין בריכת קנה,עינות צוקים,,
NS00001648,2019-12-23 14:53:13,קוליפורם צואתי,30,מזין בריכת קנה,עינות צוקים,,
NS00001650,2019-02-24 13:47:50,קוליפורם צואתי,<100,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-04-07 14:49:25,קוליפורם צואתי,50,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-04-29 08:45:35,קוליפורם צואתי,70,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-05-28 15:21:50,קוליפורם צואתי,<10,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-06-02 16:19:07,קוליפורם צואתי,70,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-06-30 17:24:32,קוליפורם צואתי,20,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-08-18 16:45:46,קוליפורם צואתי,230,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-10-27 15:04:05,קוליפורם צואתי,50,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-11-24 15:01:49,קוליפורם צואתי,60,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2019-12-23 14:53:13,קוליפורם צואתי,40,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00000711,2019-03-26 17:43:42,E.coli MUG,50,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-03-26 17:43:42,קוליפורם צואתי,50,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-04-10 14:21:49,E.coli MUG,70,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-04-10 14:21:49,קוליפורם צואתי,70,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-04-16 16:29:05,E.coli MUG,150,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-04-16 16:29:05,קוליפורם צואתי,160,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-06 16:33:52,E.coli MUG,80,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-06 16:33:52,קוליפורם צואתי,80,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-20 15:42:40,E.coli MUG,90,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-05-20 15:42:40,קוליפורם צואתי,110,ג'ילבון מפל דבורה,ג'ילבון,,
NS00000711,2019-06-02 15:55:39,E.coli MUG,פלטה מכוסה,ג'ילבון מפל דבורה,ג'ילבון,,
