"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00001996,2022-02-07 14:14:00,קוליפורם צואתי,<10,בריכת מעיין עליונה - עינות צוקים,עינות צוקים,,
NS00001996,2022-03-15 14:31:37,קוליפורם צואתי,80,בריכת מעיין עליונה - עינות צוקים,עינות צוקים,,
NS00001996,2022-04-11 13:29:46,קוליפורם צואתי,100,בריכת מעיין עליונה - עינות צוקים,עינות צוקים,,
NS00001996,2022-06-13 15:56:11,קוליפורם צואתי,270,בריכת מעיין עליונה - עינות צוקים,עינות צוקים,,
NS00001648,2022-04-11 13:29:46,קוליפורם צואתי,30,מזין בריכת קנה,עינות צוקים,,
NS00001648,2022-06-13 15:56:11,קוליפורם צואתי,60,מזין בריכת קנה,עינות צוקים,,
NS00001648,2022-08-14 14:13:45,קוליפורם צואתי,420,מזין בריכת קנה,עינות צוקים,,
NS00001648,2022-09-11 11:45:29,קוליפורם צואתי,140,מזין בריכת קנה,עינות צוקים,,
NS00001648,2022-11-07 14:43:06,קוליפורם צואתי,<10,מזין בריכת קנה,עינות צוקים,,
NS00001649,2022-04-11 13:29:46,קוליפורם צואתי,250,בריכת קנה,עינות צוקים,,
NS00001649,2022-06-13 15:56:11,קוליפורם צואתי,20,בריכת קנה,עינות צוקים,,
NS00001649,2022-08-14 14:13:45,קוליפורם צואתי,>1000,בריכת קנה,עינות צוקים,,
NS00001649,2022-09-11 11:45:29,קוליפורם צואתי,300,בריכת קנה,עינות צוקים,,
NS00001649,2022-11-07 14:43:06,קוליפורם צואתי,50,בריכת קנה,עינות צוקים,,
NS00001650,2022-02-07 14:12:00,קוליפורם צואתי,60,מזין בריכת המעיין התחתונה,עינות צוקים,,
NS00001650,2022-03-15 14:31:37,קוליפורם צואתי,30,מזין בריכת המעיין התחתונה,עינות צוקים,,
