,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00000711,2024-04-08 15:21:00,E.coli MUG,580,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-04-08 15:21:00,קוליפורם צואתי,930,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-04-15 14:43:30,E.coli MUG,540,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-04-15 14:43:30,קוליפורם צואתי,540,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-01 15:43:21,E.coli MUG,1000,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-01 15:43:21,קוליפורם צואתי,1000,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-12 14:06:20,E.coli MUG,440,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-12 14:06:20,קוליפורם צואתי,580,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-27 13:54:35,E.coli MUG,150,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-05-27 13:54:35,קוליפורם צואתי,160,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-06-09 15:02:25,E.coli MUG,310,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-06-09 15:02:25,קוליפורם צואתי,1100,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-06-24 16:13:59,E.coli MUG,300,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-06-24 16:13:59,קוליפורם צואתי,370,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-07-08 14:16:27,E.coli MUG,400,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-07-08 14:16:27,קוליפורם צואתי,440,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-07-22 14:26:47,E.coli MUG,800,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-07-22 14:26:47,קוליפורם צואתי,800,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-08-05 12:03:23,E.coli MUG,1350,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-08-05 12:03:23,קוליפורם צואתי,1350,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-08-19 15:41:44,E.coli MUG,1200,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-08-19 15:41:44,קוליפורם צואתי,1200,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-09-09 15:47:43,E.coli MUG,2200,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-09-09 15:47:43,קוליפורם צואתי,2200,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-09-16 14:33:47,E.coli MUG,3400,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000711,2024-09-16 14:33:47,קוליפורם צואתי,3400,ג'ילבון מפל דבורה,ג'ילבון,,,,,,
NS00000706,2024-04-08 15:21:00,E.coli MUG,1570,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-04-08 15:21:00,קוליפורם צואתי,1570,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-04-15 14:43:30,E.coli MUG,120,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-04-15 14:43:30,קוליפורם צואתי,260,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-01 15:43:21,E.coli MUG,200,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-01 15:43:21,קוליפורם צואתי,270,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-12 14:06:20,E.coli MUG,150,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-12 14:06:20,קוליפורם צואתי,170,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-27 13:54:35,E.coli MUG,50,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-05-27 13:54:35,קוליפורם צואתי,50,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-06-09 15:02:25,E.coli MUG,30,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-06-09 15:02:25,קוליפורם צואתי,120,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-06-24 16:13:59,E.coli MUG,50,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-06-24 16:13:59,קוליפורם צואתי,50,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-07-08 14:16:27,E.coli MUG,<10,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-07-08 14:16:27,קוליפורם צואתי,270,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-07-22 14:26:47,E.coli MUG,30,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-07-22 14:26:47,קוליפורם צואתי,90,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-08-05 12:03:23,E.coli MUG,120,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-08-05 12:03:23,קוליפורם צואתי,200,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-08-19 15:41:44,E.coli MUG,90,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-08-19 15:41:44,קוליפורם צואתי,420,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-09-09 15:47:43,E.coli MUG,400,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-09-09 15:47:43,קוליפורם צואתי,500,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-09-16 14:33:47,E.coli MUG,450,זוויתן לפני מפל,זוויתן,,,,,,
NS00000706,2024-09-16 14:33:47,קוליפורם צואתי,700,זוויתן לפני מפל,זוויתן,,,,,,
NS00001908,2024-04-08 15:21:00,E.coli MUG,60,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-04-08 15:21:00,קוליפורם צואתי,120,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-04-15 14:43:30,E.coli MUG,270,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-04-15 14:43:30,קוליפורם צואתי,350,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-01 15:43:21,E.coli MUG,500,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-01 15:43:21,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-12 14:06:20,E.coli MUG,230,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-12 14:06:20,קוליפורם צואתי,290,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-27 13:54:35,E.coli MUG,200,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-05-27 13:54:35,קוליפורם צואתי,240,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-09 15:02:25,E.coli MUG,220,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-09 15:02:25,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-24 16:13:59,E.coli MUG,400,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-06-24 16:13:59,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-08 14:16:27,E.coli MUG,200,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-08 14:16:27,קוליפורם צואתי,290,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-22 14:26:47,E.coli MUG,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-07-22 14:26:47,קוליפורם צואתי,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-08-19 15:41:44,E.coli MUG,670,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-08-19 15:41:44,קוליפורם צואתי,670,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-09 15:47:43,E.coli MUG,700,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-09 15:47:43,קוליפורם צואתי,800,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-16 14:33:47,E.coli MUG,600,ירדן גשר להבות הבשן,ירדן,,,,,,
NS00001908,2024-09-16 14:33:47,קוליפורם צואתי,1200,ירדן גשר להבות הבשן,ירדן,,,,,,
