,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000711,2025-04-02 13:31:35,E.coli MUG,520,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-04-02 13:31:35,קוליפורם צואתי,550,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-04-22 19:00:25,E.coli MUG,100,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-04-22 19:00:25,קוליפורם צואתי,220,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-05-07 13:51:05,E.coli MUG,730,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-05-07 13:51:05,קוליפורם צואתי,730,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-05-20 09:00:42,E.coli MUG,290,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-05-20 09:00:42,קוליפורם צואתי,470,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-06-03 16:12:20,E.coli MUG,400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-06-03 16:12:20,קוליפורם צואתי,400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-01 13:36:51,E.coli MUG,800,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-01 13:36:51,קוליפורם צואתי,800,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-15 14:37:43,E.coli MUG,1400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-15 14:37:43,קוליפורם צואתי,1400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-29 13:45:56,E.coli MUG,2100,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-07-29 13:45:56,קוליפורם צואתי,2100,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-08-12 15:21:45,E.coli MUG,2200,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-08-12 15:21:45,קוליפורם צואתי,2200,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-08-26 15:42:07,E.coli MUG,4400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-08-26 15:42:07,קוליפורם צואתי,4400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-09-07 12:15:54,E.coli MUG,2100,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-09-07 12:15:54,קוליפורם צואתי,2100,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-09-29 16:23:42,E.coli MUG,2600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-09-29 16:23:42,קוליפורם צואתי,2600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-10-15 15:15:59,E.coli MUG,1200,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-10-15 15:15:59,קוליפורם צואתי,1200,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-11-11 12:49:29,E.coli MUG,1000,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-11-11 12:49:29,קוליפורם צואתי,1300,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-12-08 13:46:43,E.coli MUG,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2025-12-08 13:46:43,קוליפורם צואתי,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000706,2025-04-02 13:31:35,E.coli MUG,10,בריכת משושי זוויתן,זוויתן
NS00000706,2025-04-02 13:31:35,קוליפורם צואתי,10,בריכת משושי זוויתן,זוויתן
NS00000706,2025-04-22 19:00:25,E.coli MUG,60,בריכת משושי זוויתן,זוויתן
NS00000706,2025-04-22 19:00:25,קוליפורם צואתי,100,בריכת משושי זוויתן,זוויתן
NS00000706,2025-05-07 13:51:05,E.coli MUG,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-05-07 13:51:05,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-05-20 09:00:42,E.coli MUG,10,בריכת משושי זוויתן,זוויתן
NS00000706,2025-05-20 09:00:42,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-06-03 16:12:20,E.coli MUG,30,בריכת משושי זוויתן,זוויתן
NS00000706,2025-06-03 16:12:20,קוליפורם צואתי,30,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-01 13:36:51,E.coli MUG,40,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-01 13:36:51,קוליפורם צואתי,40,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-15 14:37:43,E.coli MUG,40,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-15 14:37:43,קוליפורם צואתי,40,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-29 13:45:56,E.coli MUG,<10,בריכת משושי זוויתן,זוויתן
NS00000706,2025-07-29 13:45:56,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-08-12 15:21:45,E.coli MUG,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-08-12 15:21:45,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-08-26 15:42:07,E.coli MUG,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-08-26 15:42:07,קוליפורם צואתי,60,בריכת משושי זוויתן,זוויתן
NS00000706,2025-09-07 12:15:54,E.coli MUG,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-09-07 12:15:54,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2025-09-29 16:23:42,E.coli MUG,<10,בריכת משושי זוויתן,זוויתן
NS00000706,2025-09-29 16:23:42,קוליפורם צואתי,300,בריכת משושי זוויתן,זוויתן
NS00000706,2025-10-15 15:15:59,E.coli MUG,140,בריכת משושי זוויתן,זוויתן
NS00000706,2025-10-15 15:15:59,קוליפורם צואתי,150,בריכת משושי זוויתן,זוויתן
NS00000706,2025-11-11 12:49:29,E.coli MUG,70,בריכת משושי זוויתן,זוויתן
NS00000706,2025-11-11 12:49:29,קוליפורם צואתי,70,בריכת משושי זוויתן,זוויתן
NS00000706,2025-12-08 13:46:43,E.coli MUG,110,בריכת משושי זוויתן,זוויתן
NS00000706,2025-12-08 13:46:43,קוליפורם צואתי,110,בריכת משושי זוויתן,זוויתן
NS00001908,2025-04-02 13:31:35,E.coli MUG,1170,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-02 13:31:35,קוליפורם צואתי,1170,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-22 19:00:25,E.coli MUG,550,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-04-22 19:00:25,קוליפורם צואתי,550,ירדן גשר להבות הבשן,ירדן
NS00001908,2025-05-07 13:51:05,E.coli MUG,160,ירדן גשר להבות הבשן,ירדן
