,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000711,2026-04-26 13:51:20,E.coli MUG,950,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-04-26 13:51:20,קוליפורם צואתי,1050,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-05-12 13:25:09,E.coli MUG,1600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-05-12 13:25:09,קוליפורם צואתי,1600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-05-25 14:06:21,E.coli MUG,400,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-05-25 14:06:21,קוליפורם צואתי,600,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-06-14 14:53:13,E.coli MUG,340,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-06-14 14:53:13,קוליפורם צואתי,800,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-06-22 13:30:36,E.coli MUG,620,ג'ילבון מפל דבורה,ג'ילבון
NS00000711,2026-06-22 13:30:36,קוליפורם צואתי,620,ג'ילבון מפל דבורה,ג'ילבון
NS00000706,2026-04-26 13:51:20,E.coli MUG,180,בריכת משושי זוויתן,זוויתן
NS00000706,2026-04-26 13:51:20,קוליפורם צואתי,210,בריכת משושי זוויתן,זוויתן
NS00000706,2026-05-12 13:25:09,E.coli MUG,200,בריכת משושי זוויתן,זוויתן
NS00000706,2026-05-12 13:25:09,קוליפורם צואתי,220,בריכת משושי זוויתן,זוויתן
NS00000706,2026-05-25 14:06:21,E.coli MUG,60,בריכת משושי זוויתן,זוויתן
NS00000706,2026-05-25 14:06:21,קוליפורם צואתי,90,בריכת משושי זוויתן,זוויתן
NS00000706,2026-06-14 14:53:13,E.coli MUG,<10,בריכת משושי זוויתן,זוויתן
NS00000706,2026-06-14 14:53:13,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00000706,2026-06-22 13:30:36,E.coli MUG,10,בריכת משושי זוויתן,זוויתן
NS00000706,2026-06-22 13:30:36,קוליפורם צואתי,20,בריכת משושי זוויתן,זוויתן
NS00001908,2026-04-26 13:51:20,E.coli MUG,650,ירדן גשר להבות הבשן,ירדן
NS00001908,2026-04-26 13:51:20,קוליפורם צואתי,900,ירדן גשר להבות הבשן,ירדן
NS00001908,2026-05-12 13:25:09,E.coli MUG,390,ירדן גשר להבות הבשן,ירדן
