שם נקודה,אתר
מעיין כייף,
אל על בריכת המפל,אל על
אל על מפל שחור,אל על
בניאס גשר כפר סאלד,בניאס
בניאס גשר שאר ישוב,בניאס
בניאס זולה 2,בניאס
בניאס מורד המפל,בניאס
בניאס תחנת הקמח,בניאס
בצת בריכה 1,בצת עכו
בצת בריכה 2,בצת עכו
בצת ראש המעיין,בצת עכו
בצת תפיסת אילון,בצת עכו
סוף מסלול נחל בצת,בצת עכו
ג'ילבון אזור עלייקה,ג'ילבון
ג'ילבון ירידה לשטח אש,ג'ילבון
ג'ילבון מפל דבורה,ג'ילבון
נחל חדרה - נקודת שאיבה מאגר 5,גן שמואל
געתון חניון אשחר,געתון
געתון חניון חורבה,געתון
בריכת משושי זוויתן,זוויתן
זוויתן לפני מפל,זוויתן
זויתן שביל שחור,זוויתן
חצבאני אחרי תחנה הידרואלקטרית,חצבני
חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
חצבאני טיילת מפגש הנחלים,חצבני
חצבאני שפך לירדן,חצבני
חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני
חצבני גשר מעיין ברוך,חצבני
חצבני גשר צנורות,חצבני
חצבני גשר רומי,חצבני
חצבני נוחיילה,חצבני
חצבני סכר רומי,חצבני
חצבני שפך ירדן,חצבני
נחל עיון חניון יוקי,חצבני
זאכי,יהודיה
יהודיה מסיל קצביה,יהודיה
יהודיה מפל יהודיה,יהודיה
יהודיה עין תות,יהודיה
יהודיה תחנה הידרומטרית,יהודיה
ירדן גשר בנות יעקב,ירדן
ירדן גשר הדודות,ירדן
ירדן גשר החמישה,ירדן
ירדן גשר הפקק (חורי),ירדן
ירדן גשר חורי,ירדן
ירדן גשר יוסף,ירדן
ירדן גשר יוסף (כולירה),ירדן
ירדן גשר להבות הבשן,ירדן
ירדן דרומי גשר,ירדן
ירדן מוצא תעלה מערבית,ירדן
ירדן מיצד עטרת,ירדן
ירדן מצד עתרת,ירדן
ירדן נחל דישון,ירדן
ירדן תעלת הבטחון,ירדן
ירדן גשר אריק,ירדן טבריה
ירדן גשר אריק (כולירה),ירדן טבריה
כזיב בריכת הדלבים,כזיב
כזיב בריכת עין טמיר,כזיב
כזיב בריכת עין תמיר,כזיב
כזיב חרדלית,כזיב
כזיב עין זיו,כזיב
כזיב עין צינור,כזיב
כזיב עין תמיר,כזיב
מג'רסה,מג'רסה
מג'רסה דליות אחרי המאגר,מג'רסה
מג'רסה דליות סוף הזרימה,מג'רסה
מג'רסה דליות תחילת זרימה,מג'רסה
מג'רסה חיבור כנרת,מג'רסה
מג'רסה חיבור קידוח,מג'רסה
מג'רסה לפני המאגר,מג'רסה
מג'רסה מסיל צפוני,מג'רסה
מג'רסה מעלה,מג'רסה
מג'רסה נחל שפמנון,מג'רסה
מעיין שולמית,מעיין שולמית
משושים בריכת המשושים,משושים
משושים חורשה,משושים
משושים לאחר חיבור נחל קצרין,משושים
משושים לפני חיבור נחל אל-דורה למשושים,משושים
משושים מעבר כביש,משושים
משושים מעל חיבור נחל קצרין,משושים
משושים נחל דורה,משושים
משושים סוף נחל קצרין,משושים
משושים צומת נשוט לכיוון קצרין,משושים
נחל דוד א',נחל דוד
נחל דוד ב',נחל דוד
נחל ערוגות א',נחל ערוגות
נחל ערוגות ב',נחל ערוגות
גשר כביש 70,נחל צפורי
חיבור עלי אסמעיל מגדוב,נחל צפורי
תחנת הנזירים,נחל צפורי
ירדן דרומי גשר,סקר
ירמוכים יציאה ממאגר לאחר חיטוי,סקר
ירמוכים כניסה,סקר
ירמוכים מאגר,סקר
נוחיילה,סקר
נחל סער בקעת יעפורי,סקר
עין תופחה אחרי איגום,סקר
עין תופחה לפני איגום,סקר
ראס אל נבע,סקר
תעלת שלומי,סקר
כניסה לבנון,עיון
נחל עיון כניסה מלבנון,עיון
מעיין עין גדי,עין גדי
בריכה הצפצפה - גשר דרומית,עין פשחה
גשר הצפצפה,עין פשחה
בריכת המעיין,עינות צוקים
בריכת מעיין עליונה - עינות צוקים,עינות צוקים
בריכת מעיין תחתונה - עינות צוקים,עינות צוקים
בריכת קנה,עינות צוקים
בריכת קנה (תמר) - עינות צוקים,עינות צוקים
בריכת תמר,עינות צוקים
בריכת תמר - עינות צוקים,עינות צוקים
כיסון,עינות צוקים
מזין בריכת המעיין התחתונה,עינות צוקים
מזין בריכת קנה,עינות צוקים
צלמון בריכת מפל (נקודה מבוטלת),צלמון
צלמון ברכת חרוב,צלמון
צלמון ראש המעיין,צלמון
צלמון תחנת קמח,צלמון
