שם נקודה,אתר,Latitude,Longitude,Tries
מעיין כייף,,32.831157538211,35.764914304018,2
אל על בריכת המפל,אל על,32.8046,35.7343,
אל על מפל שחור,אל על,32.81,35.73,
בניאס גשר כפר סאלד,בניאס,33.245,35.705,
בניאס גשר שאר ישוב,בניאס,33.233,35.776,
בניאס זולה 2,בניאס,33.239,35.741,
בניאס מורד המפל,בניאס,33.247,35.769,
בניאס תחנת הקמח,בניאס,33.25,35.72,
בצת בריכה 1,בצת עכו,33.0728,35.2144,
בצת בריכה 2,בצת עכו,33.0712312104183,35.1349405829359,
בצת ראש המעיין,בצת עכו,,,1
בצת תפיסת אילון,בצת עכו,33.0833,35.1,1
סוף מסלול נחל בצת,בצת עכו,33.06361,35.22056,
ג'ילבון אזור עלייקה,ג'ילבון,33.04,35.66,
ג'ילבון ירידה לשטח אש,ג'ילבון,33.039167,35.664722,1
ג'ילבון מפל דבורה,ג'ילבון,,,1
נחל חדרה - נקודת שאיבה מאגר 5,גן שמואל,32.45361,34.94972,1
געתון חניון אשחר,געתון,33,35.0833,1
געתון חניון חורבה,געתון,,,1
בריכת משושי זוויתן,זוויתן,32.938867,35.665318,1
זוויתן לפני מפל,זוויתן,32.952526,35.706789,1
זויתן שביל שחור,זוויתן,,,1
חצבאני אחרי תחנה הידרואלקטרית,חצבני,33.2362,35.6214,1
חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני,,,1
חצבאני טיילת מפגש הנחלים,חצבני,33.1875,35.61944,1
חצבאני שפך לירדן,חצבני,,,
חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני,,,
חצבני גשר מעיין ברוך,חצבני,,,
חצבני גשר צנורות,חצבני,,,
חצבני גשר רומי,חצבני,,,
חצבני נוחיילה,חצבני,,,
חצבני סכר רומי,חצבני,,,
חצבני שפך ירדן,חצבני,,,
נחל עיון חניון יוקי,חצבני,,,
זאכי,יהודיה,,,
יהודיה מסיל קצביה,יהודיה,,,
יהודיה מפל יהודיה,יהודיה,,,
יהודיה עין תות,יהודיה,,,
יהודיה תחנה הידרומטרית,יהודיה,,,
ירדן גשר בנות יעקב,ירדן,,,
ירדן גשר הדודות,ירדן,,,
ירדן גשר החמישה,ירדן,,,
ירדן גשר הפקק (חורי),ירדן,,,
ירדן גשר חורי,ירדן,,,
ירדן גשר יוסף,ירדן,,,
ירדן גשר יוסף (כולירה),ירדן,,,
ירדן גשר להבות הבשן,ירדן,,,
ירדן דרומי גשר,ירדן,,,
ירדן מוצא תעלה מערבית,ירדן,,,
ירדן מיצד עטרת,ירדן,,,
ירדן מצד עתרת,ירדן,,,
ירדן נחל דישון,ירדן,,,
ירדן תעלת הבטחון,ירדן,,,
ירדן גשר אריק,ירדן טבריה,,,
ירדן גשר אריק (כולירה),ירדן טבריה,,,
כזיב בריכת הדלבים,כזיב,,,
כזיב בריכת עין טמיר,כזיב,,,
כזיב בריכת עין תמיר,כזיב,,,
כזיב חרדלית,כזיב,,,
כזיב עין זיו,כזיב,,,
כזיב עין צינור,כזיב,,,
כזיב עין תמיר,כזיב,,,
מג'רסה,מג'רסה,,,
מג'רסה דליות אחרי המאגר,מג'רסה,,,
מג'רסה דליות סוף הזרימה,מג'רסה,,,
מג'רסה דליות תחילת זרימה,מג'רסה,,,
מג'רסה חיבור כנרת,מג'רסה,,,
מג'רסה חיבור קידוח,מג'רסה,,,
מג'רסה לפני המאגר,מג'רסה,,,
מג'רסה מסיל צפוני,מג'רסה,,,
מג'רסה מעלה,מג'רסה,,,
מג'רסה נחל שפמנון,מג'רסה,,,
מעיין שולמית,מעיין שולמית,,,
משושים בריכת המשושים,משושים,,,
משושים חורשה,משושים,,,
משושים לאחר חיבור נחל קצרין,משושים,,,
משושים לפני חיבור נחל אל-דורה למשושים,משושים,,,
משושים מעבר כביש,משושים,,,
משושים מעל חיבור נחל קצרין,משושים,,,
משושים נחל דורה,משושים,,,
משושים סוף נחל קצרין,משושים,,,
משושים צומת נשוט לכיוון קצרין,משושים,,,
נחל דוד א',נחל דוד,,,
נחל דוד ב',נחל דוד,,,
נחל ערוגות א',נחל ערוגות,,,
נחל ערוגות ב',נחל ערוגות,,,
גשר כביש 70,נחל צפורי,,,
חיבור עלי אסמעיל מגדוב,נחל צפורי,,,
תחנת הנזירים,נחל צפורי,,,
ירדן דרומי גשר,סקר,,,
ירמוכים יציאה ממאגר לאחר חיטוי,סקר,,,
ירמוכים כניסה,סקר,,,
ירמוכים מאגר,סקר,,,
נוחיילה,סקר,,,
נחל סער בקעת יעפורי,סקר,,,
עין תופחה אחרי איגום,סקר,,,
עין תופחה לפני איגום,סקר,,,
ראס אל נבע,סקר,,,
תעלת שלומי,סקר,,,
כניסה לבנון,עיון,,,
נחל עיון כניסה מלבנון,עיון,,,
מעיין עין גדי,עין גדי,,,
בריכה הצפצפה - גשר דרומית,עין פשחה,,,
