שם נקודה,אתר,Latitude,Longitude,Tries,אזור
מעיין כייף,,32.83115754,35.7649143,2,גולן
אל על בריכת המפל,אל על,32.8046,35.7343,,גולן
אל על מפל שחור,אל על,32.81,35.73,,גולן
בניאס גשר כפר סאלד,בניאס,33.245,35.705,,גליל עליון / עמק החולה
בניאס גשר שאר ישוב,בניאס,33.233,35.776,,גליל עליון / עמק החולה
בניאס זולה 2,בניאס,33.239,35.741,,גליל עליון / עמק החולה
בניאס מורד המפל,בניאס,33.247,35.769,,גליל עליון / עמק החולה
בניאס תחנת הקמח,בניאס,33.25,35.72,,גליל עליון / עמק החולה
בצת בריכה 1,בצת עכו,33.0728,35.2144,,גליל מערבי
בצת בריכה 2,בצת עכו,33.07123121,35.13494058,,גליל מערבי
בצת ראש המעיין,בצת עכו,33.0768,35.2425,1,גליל מערבי
בצת תפיסת אילון,בצת עכו,33.0833,35.1,1,גליל מערבי
סוף מסלול נחל בצת,בצת עכו,33.06361,35.22056,,גליל מערבי
ג'ילבון אזור עלייקה,ג'ילבון,33.04,35.66,,גולן
ג'ילבון ירידה לשטח אש,ג'ילבון,33.039167,35.664722,1,גולן
ג'ילבון מפל דבורה,ג'ילבון,33.0538,35.6881,1,גולן
נחל חדרה - נקודת שאיבה מאגר 5,גן שמואל,32.45361,34.94972,1,מישור החוף המרכזי / חוף הכרמל
געתון חניון אשחר,געתון,33,35.0833,1,גליל מערבי
געתון חניון חורבה,געתון,33.0125,35.1852,1,גליל מערבי
בריכת משושי זוויתן,זוויתן,32.938867,35.665318,1,גולן
זוויתן לפני מפל,זוויתן,32.952526,35.706789,1,גולן
זויתן שביל שחור,זוויתן,32.9461,35.6842,1,גולן
חצבאני אחרי תחנה הידרואלקטרית,חצבני,33.2362,35.6214,1,גליל עליון / אצבע הגליל
חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני,33.2362,35.6214,1,גליל עליון / אצבע הגליל
חצבאני טיילת מפגש הנחלים,חצבני,33.1875,35.61944,1,גליל עליון / אצבע הגליל
חצבאני שפך לירדן,חצבני,33.1842,35.6186,,גליל עליון / אצבע הגליל
חצבאני תחנה הידרואלקטרית (גן הצפון),חצבני,33.2215,35.6178,,גליל עליון / אצבע הגליל
חצבני גשר מעיין ברוך,חצבני,33.2289,35.6158,,גליל עליון / אצבע הגליל
חצבני גשר צנורות,חצבני,33.2051,35.6182,,גליל עליון / אצבע הגליל
חצבני גשר רומי,חצבני,33.2378,35.6225,,גליל עליון / אצבע הגליל
חצבני נוחיילה,חצבני,33.2486,35.6219,,גליל עליון / אצבע הגליל
חצבני סכר רומי,חצבני,33.2381,35.6221,,גליל עליון / אצבע הגליל
חצבני שפך ירדן,חצבני,33.1842,35.6186,,גליל עליון / אצבע הגליל
נחל עיון חניון יוקי,חצבני,33.2651,35.5802,,גליל עליון / אצבע הגליל
זאכי,יהודיה,32.8986,35.6375,,גולן
יהודיה מסיל קצביה,יהודיה,32.9215,35.6981,,גולן
יהודיה מפל יהודיה,יהודיה,32.9082,35.6914,,גולן
יהודיה עין תות,יהודיה,32.9156,35.6948,,גולן
יהודיה תחנה הידרומטרית,יהודיה,32.9021,35.6812,,גולן
ירדן גשר בנות יעקב,ירדן,33.0103,35.6283,,עמק החולה / גליל עליון
ירדן גשר הדודות,ירדן,32.9861,35.6294,,עמק החולה / גליל עליון
ירדן גשר החמישה,ירדן,33.1612,35.6241,,גליל עליון / עמק החולה
ירדן גשר הפקק (חורי),ירדן,33.0831,35.6292,,עמק החולה / גליל עליון
ירדן גשר חורי,ירדן,33.0831,35.6292,,עמק החולה / גליל עליון
ירדן גשר יוסף,ירדן,33.1758,35.6219,,גליל עליון / עמק החולה
ירדן גשר יוסף (כולירה),ירדן,33.1758,35.6219,,גליל עליון / עמק החולה
ירדן גשר להבות הבשן,ירדן,33.1481,35.6238,,גליל עליון / עמק החולה
ירדן דרומי גשר,ירדן,32.9125,35.6211,,עמק הירדן / הכנרת
ירדן מוצא תעלה מערבית,ירדן,33.1215,35.6268,,עמק החולה
ירדן מיצד עטרת,ירדן,33.0061,35.6289,,גליל עליון / עמק החולה
ירדן מצד עתרת,ירדן,33.0061,35.6289,,גליל עליון / עמק החולה
ירדן נחל דישון,ירדן,33.0725,35.6298,,גליל עליון / עמק החולה
ירדן תעלת הבטחון,ירדן,33.1352,35.6251,,עמק החולה
ירדן גשר אריק,ירדן טבריה,32.9014,35.6133,,עמק הירדן / הכנרת
ירדן גשר אריק (כולירה),ירדן טבריה,32.9014,35.6133,,עמק הירדן / הכנרת
כזיב בריכת הדלבים,כזיב,33.0428,35.2514,,גליל מערבי
כזיב בריכת עין טמיר,כזיב,33.0436,35.2412,,גליל מערבי
כזיב בריכת עין תמיר,כזיב,33.0436,35.2412,,גליל מערבי
כזיב חרדלית,כזיב,33.0468,35.1825,,גליל מערבי
כזיב עין זיו,כזיב,33.0381,35.2752,,גליל מערבי
כזיב עין צינור,כזיב,33.0412,35.2618,,גליל מערבי
כזיב עין תמיר,כזיב,33.0436,35.2412,,גליל מערבי
מג'רסה,מג'רסה,32.8872,35.6419,,גולן
מג'רסה דליות אחרי המאגר,מג'רסה,32.8915,35.6712,,גולן
מג'רסה דליות סוף הזרימה,מג'רסה,32.8881,35.6458,,גולן
מג'רסה דליות תחילת זרימה,מג'רסה,32.8982,35.7021,,גולן
מג'רסה חיבור כנרת,מג'רסה,32.8858,35.6389,,גולן / כנרת
מג'רסה חיבור קידוח,מג'רסה,32.8891,35.6492,,גולן
